Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Age],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""143""","""Central Asia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,277.07223
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""148""","""Chad""","""NUM_U5_M""","""<5Y""","""G""",233.86234,,,,314.89304,,,,,,444.61915,,,,,345.97907,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""152""","""Chile""","""NUM_U5_M""","""<5Y""","""G""",,6.52691,6.45399,6.37893,6.31393,,6.24097,3.73875,3.73886,,,,,3.66222,3.62078,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""156""","""China""","""NUM_U5_M""","""<5Y""","""G""",2043.9386,,2464.84476,,,2298.81034,,,2123.11889,2131.25487,1899.3728,,,1614.6505,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""170""","""Colombia""","""NUM_U5_M""","""<5Y""","""G""",43.16558,,,,,65.16663,,,,,35.32205,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""174""","""Comoros""","""NUM_U5_M""","""<5Y""","""G""",11.77846,,,,,,,,,,,,12.55386,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""178""","""Congo""","""NUM_U5_M""","""<5Y""","""G""",,,,,,49.37986,,,,,,45.44379,,,,66.49379,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""188""","""Costa Rica""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,3.56955,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""384""","""C“te d'Ivoire""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,284.48742,446.34968,,,,,267.12181,,,,233.60363,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""192""","""Cuba""","""NUM_U5_M""","""<5Y""","""G""",18.08455,,,,,,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""203""","""Czechia""","""NUM_U5_M""","""<5Y""","""G""",,19.2108,,,,,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""408""","""Democratic People's Republic of Korea""","""NUM_U5_M""","""<5Y""","""G""",242.49354,,168.04581,,163.58276,,,,,92.22257,,,67.8656,,,,,43.33428,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""180""","""Democratic Republic of the Congo""","""NUM_U5_M""","""<5Y""","""G""",,1865.76411,,,,,,1138.07908,,,1291.93015,,,1085.481,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""262""","""Djibouti""","""NUM_U5_M""","""<5Y""","""G""",,,20.42247,,,,,,,,,,21.39686,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""214""","""Dominican Republic""","""NUM_U5_M""","""<5Y""","""G""",15.22547,,22.89284,,,,20.24733,24.56801,,,,,,25.28666,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""753""","""Eastern and South-Eastern Asia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,6561.60357
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""30""","""Eastern Asia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,1568.01136
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""218""","""Ecuador""","""NUM_U5_M""","""<5Y""","""G""",,,,,30.7628,,32.29633,,,,,,37.96362,,26.16332,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""818""","""Egypt""","""NUM_U5_M""","""<5Y""","""G""",,,,455.41961,,479.41561,,,748.81921,,,,,,1137.3757,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""222""","""El Salvador""","""NUM_U5_M""","""<5Y""","""G""",,,,9.00819,,,,,9.69935,,,,,,12.50878,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""226""","""Equatorial Guinea""","""NUM_U5_M""","""<5Y""","""G""",9.42641,,,,3.33057,,,,,,,4.83271,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""232""","""Eritrea""","""NUM_U5_M""","""<5Y""","""G""",,,83.00241,,,,,,,,109.18869,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""748""","""Eswatini""","""NUM_U5_M""","""<5Y""","""G""",2.65195,,,,,,4.61542,,1.80345,,1.83276,,,,3.53381,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""231""","""Ethiopia""","""NUM_U5_M""","""<5Y""","""G""",1534.45051,,,,,1671.2636,,,,,,1374.17092,,,1277.91455,,1516.46277,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""242""","""Fiji""","""NUM_U5_M""","""<5Y""","""G""",,,,,5.66698,,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""266""","""Gabon""","""NUM_U5_M""","""<5Y""","""G""",7.81391,,,,,,,,,,,,8.51735,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""270""","""Gambia""","""NUM_U5_M""","""<5Y""","""G""",21.19179,,,,,,20.62442,,,,30.10143,,31.28865,37.04531,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""268""","""Georgia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,7.46561,,,,4.38003,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""276""","""Germany""","""NUM_U5_M""","""<5Y""","""G""",,,,,,35.99277,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""288""","""Ghana""","""NUM_U5_M""","""<5Y""","""G""",,,,263.04054,,,196.94889,,301.23644,,,258.38584,,,186.15258,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""320""","""Guatemala""","""NUM_U5_M""","""<5Y""","""G""",70.26643,,37.3133,,,,,,,21.5189,,,,,,14.99642,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""324""","""Guinea""","""NUM_U5_M""","""<5Y""","""G""",,,,,,182.22237,,142.82532,,,,94.06124,186.09527,,,,160.43975,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""624""","""Guinea-Bissau""","""NUM_U5_M""","""<5Y""","""G""",25.14677,,,,,,20.53008,,,,14.84533,,,,16.72283,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""328""","""Guyana""","""NUM_U5_M""","""<5Y""","""G""",11.61259,,,,,,6.76014,,,4.22743,,,,,4.80672,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""332""","""Haiti""","""NUM_U5_M""","""<5Y""","""G""",67.41439,,,,,,125.4988,,,,,,64.42599,,,,,45.85777,
